Account: Micro Region,Account: Billing Country,Workload Progress,Primary Workload Pillar,Key Workload Products,Solutions,Account: Account Name,Account: Account Owner,Account: Product Area,Workload: Workload Name,Primary CE Technical Owner,Workload Gross Annual Recurring Revenue (converted),Implementation Lead,Partner,Workload End Date,PSF Investment,PSF Status,PSF Type,Opportunity,Tiene Gemini Enterprise en ell Workload,Tiene Gemini Enterprise en la Oportunidad?,Aparently is GE
BR CORP,Brazil,0-2: Tech Eval/Solution Dev,,,,Estok Comércio e Representações S/A,Sergio Reviti,,Tok&Stok - Gen AI,,"USD 25,000",Partner,,,go/psf-request,psf-request,,"Tok&Stok - #GCP #Corporate #GenAI (VEO3, Imagen, Lyria)",FALSE,FALSE,
BR CORP,Brazil,0-2: Tech Eval/Solution Dev,,,,Radio Panamericana S/A,Sergio Reviti,,JovemPan - Infra Migration,,"USD 50,000",Partner,,,go/psf-request,psf-request,,JovemPan - #GCP #InfraModernization #BR,FALSE,FALSE,
BR CORP,Brazil,0-2: Tech Eval/Solution Dev,,,,MATRIX COMERCIALIZADORA DE ENERGIA ELETRICA S/A,Sarah Tobias,,Matrix - SECOPS,,"USD 60,000",Unknown,,,go/psf-request,psf-request,,Matrix Energia - SECOPS,FALSE,FALSE,
BR CORP,Brazil,0-2: Tech Eval/Solution Dev,,,,NEOGRID PARTICIPACOES S.A.,Sergio Reviti,,Neogrid - Gemini Enterprise with Workspace,,"USD 30,000",Partner,,,go/psf-request,psf-request,,Neogrid - #Corporate #Gemini Enterprise,TRUE,TRUE,Gemini enterprise
BR CORP,Brazil,0-2: Tech Eval/Solution Dev,,,,NEOGRID PARTICIPACOES S.A.,Sergio Reviti,,Neogrid - GenAI,,"USD 30,000",Partner,,,go/psf-request,psf-request,,Neogrid - #GCP #Projetos AI #Corporate #Brasil,FALSE,FALSE,
BR CORP,Brazil,0-2: Tech Eval/Solution Dev,,,,Devintex - SalonLine,Sergio Reviti,,SalonLine - Analytics + GE,,"USD 100,000",Unknown,,,go/psf-request,psf-request,,SalonLine - #Corporate #Commit #GCP,TRUE,FALSE,Gemini enterprise
BR CORP,Brazil,3:  Proposal / Negotiation,,,,Cocal Comércio Indústria Canaã Açúcar Álcool Ltda,Sergio Reviti,,Cocal - GE,,"USD 40,000",Partner,,,go/psf-request,psf-request,,Cocal - #Corporate #BR #AgentSpace,TRUE,FALSE,Gemini enterprise
BR CORP,Brazil,0-2: Tech Eval/Solution Dev,,,,Cocal Comércio Indústria Canaã Açúcar Álcool Ltda,Sergio Reviti,,Cocal - SAP Rise,,"USD 120,000",Partner,,,go/psf-request,psf-request,,Cocal - #Corporate #BR #SAP Rise,FALSE,FALSE,
Brazil DN,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,Cloud AI - Vertex AI Platform,,MERCADO BITCOIN SERVICOS DIGITAIS LTDA,Thiago Lima,,MB - AI For Customer activate,Thiago Bezerra,"USD 250,000",Unknown,,10/9/2026,go/psf-request,psf-request,,MB - Reactivating inactive customers with AI,FALSE,FALSE,
Energy & Nat Res,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,Gemini AI,,Companhia de Saneamento Básico do Estado de São Paulo Sabesp,Hilton Mello,,[Sabesp] Financial Intelligence,Tassya Ventura Frigiéri,"USD 120,000",Customer,,,go/psf-request,psf-request,,[Sabesp] Financial Intelligence,FALSE,FALSE,
BR CORP,Brazil,0-2: Tech Eval/Solution Dev,,,,RECICLARE QUALIDADE E TREINAMENTO LTDA,Sarah Tobias,,SCC Reciclare,,"USD 15,000",Unknown,,,go/psf-request,psf-request,,Reciclare - SCC,FALSE,FALSE,
BR CORP,Brazil,0-2: Tech Eval/Solution Dev,,,,Fundação CPQD Centro de Pesquisa e Desenvolvimento em Telecomunicações.,Sergio Reviti,,CPQD - Infra Migration OCI to GCP,,"USD 150,000",Partner,,,go/psf-request,psf-request,,CPQD - #Corporate #InfraMigration,FALSE,FALSE,
"MX FSI, Services & WR",Mexico,0-2: Tech Eval/Solution Dev,Build with AI,Cloud AI - Vertex AI Platform; Cloud AI - Vertex AI Solutions; Databases,,"Monex Grupo Financiero, S.A. de C.V.",Renee Matali,,Monex-Cierres contables/reconciliación op. contable,,"USD 400,000",Customer,,,go/psf-request,psf-request,,Monex - Partnership,FALSE,FALSE,
"MX FSI, Services & WR",Mexico,0-2: Tech Eval/Solution Dev,Build with AI,Gemini AI,,Banco Invex,Fernando Irure,,Apoyo app - Fin Facts,,"USD 100,000",Unknown,,,go/psf-request,psf-request,,,FALSE,FALSE,
EDU PS,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,Cloud AI - Vertex AI Platform; Gemini AI; Databases,,SENAI NACIONAL - Serviço Nacional de Aprendizagem Industrial,Rosana Felix,,Senai Nacional (Educação) - Live API #seal,Fabricio Lopes Sanchez,"USD 30,000",Customer,,,go/psf-request,psf-request,,,FALSE,FALSE,
"MX FSI, Services & WR",Mexico,0-2: Tech Eval/Solution Dev,Build with AI,Gemini AI,,"A.N.A. Compania de Seguros, S.A. de C.V.",Fernando Irure,,Gemini para optimización de procesos,,"USD 50,000",Partner,,,go/psf-request,psf-request,,MX_AnaSeguros_GCP,FALSE,FALSE,
"MX FSI, Services & WR",Mexico,0-2: Tech Eval/Solution Dev,Build with AI,,,"Corporativo GBM, S.A.B. de C.V.",Renee Matali,,GBM /Change management complemento RFP,,"USD 60,000",PSO,,,go/psf-request,psf-request,,GBM - Partnership,FALSE,FALSE,
"MX FSI, Services & WR",Mexico,0-2: Tech Eval/Solution Dev,,,,"Corporativo GBM, S.A.B. de C.V.",Renee Matali,,GBM -Gateway P/ LLM,,"USD 100,000",Unknown,,,go/psf-request,psf-request,,GBM - Partnership,FALSE,FALSE,
EDU PS,Brazil,4.2: Ramping / Deliver,Build with AI,Cloud AI - Vertex AI Platform; Gemini AI; Databases,,SENAI NACIONAL - Serviço Nacional de Aprendizagem Industrial,Rosana Felix,,Senai Nacional (Inovação) - Descarbonização,Fabricio Lopes Sanchez,"USD 50,000",Customer,,,go/psf-request,psf-request,,Senai Nacioal - Projetos Inovação 2026 - USD 300k - 1y,FALSE,FALSE,
Brazil DN,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,Cloud AI - Vertex AI Platform,,NUVIDIO TECNOLOGIA E DESENVOLVIMENTO DE PROGRAMAS LTDA,Rafael Sanabio,,NUVIDIO - Gen AI + GPUs,,"USD 60,000",Customer,,,go/psf-request,psf-request,,Nuvidio - GCP - AWS Migration - #VERTEX_GPU #BR #OUT #SalesCreditPOC,FALSE,FALSE,
BR CORP,Brazil,0-2: Tech Eval/Solution Dev,,,,Neobpo Servicos de Processos de Negocios e Tecnologia SA,Sarah Tobias,,Neobpo - SECOPS,,"USD 60,000",Unknown,,,go/psf-request,psf-request,,Neobpo - SECOPS,FALSE,FALSE,
Chile,Chile,0-2: Tech Eval/Solution Dev,Build with AI,,,S.A.C.I. Falabella,Sebastian Sosa,,S.A.C.I. Falabella - GE Seat Activation Ramp (Opp:006Kf00000JC1gEIAT),,,Unknown,,,go/psf-request,psf-request,,S.A.C.I. Falabella - Agentspace,TRUE,FALSE,Gemini enterprise
MX Large Accounts,Mexico,4.2: Ramping / Deliver,Build with AI,,,Servicios Liverpool  S.A. de C.V.,Javier Camacho,,Liverpool - GE Seat Activation Ramp (Opp:006Kf00000LkZmhIAF),,"USD 800,000",Customer,,,go/psf-request,psf-request,,Liverpool - Vertex AI Search - #Gemini Enterprise [B],TRUE,TRUE,Gemini enterprise
MX DN,Mexico,0-2: Tech Eval/Solution Dev,Build with AI,,,"Financiera Independencia S.A.B. de C.V. SOFOM, E.N.R.",Edgar Torres,,"Financiera Independencia S.A.B. de C.V. SOFOM, E.N.R. - GE Seat Activation Ramp",,,Unknown,,,go/psf-request,psf-request,,Financiera Independencia - Vertex AI Search - #Agentspace [B] -> Gemini Enterprise : Amendment,TRUE,TRUE,Gemini enterprise
MX DN,Mexico,0-2: Tech Eval/Solution Dev,Build with AI,,,"Financiera Independencia S.A.B. de C.V. SOFOM, E.N.R.",Edgar Torres,,"Financiera Independencia S.A.B. de C.V. SOFOM, E.N.R. - GE Seat Activation Ramp",,,Unknown,,,go/psf-request,psf-request,,Financiera Independencia - Vertex AI Search - #Agentspace [B],TRUE,FALSE,Gemini enterprise
Brazil DN,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,,,Contabilizei,Tammy Fukuoka,,Contabilizei - GE Seat Activation Ramp (Opp:006Kf00000LjJRuIAN),,,Unknown,,,go/psf-request,psf-request,,Contabilizei - Agentspace / Gemini Ent,TRUE,FALSE,Gemini enterprise
Retail & CPG,Brazil,4.2: Ramping / Deliver,Build with AI,,,Tramontina Central de Administração Ltda,Welington Comin,,Tramontina Central de Administração Ltda - GE Seat Activation Ramp (Opp:006Kf000,Bruno Patrocinio,USD 1,Partner,SANTODIGITAL DISTRIBUICAO E CONSULTORIA EM INFORMATICA LTDA,,go/psf-request,psf-request,,TRAMONTINA #OUT #GCP #Agentspace #BR,TRUE,FALSE,Gemini enterprise
Chile,Chile,0-2: Tech Eval/Solution Dev,Build with AI,,,Asociacion Chilena de Seguridad,Roberto Bagnolo,,Asociacion Chilena de Seguridad - GE Seat Activation Ramp (Opp:006Kf00000JfQ4xIA,,,Unknown,,,go/psf-request,psf-request,,ACHS - Agentspace #SS25,TRUE,FALSE,Gemini enterprise
Brazil PS,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,,,COMPANHIA DE PROCESSAMENTO DE DADOS DO ESTADO DE SAO PAULO - PRODESP,Thais Greco,,COMPANHIA DE PROCESSAMENTO DE DADOS DO ESTADO DE SAO PAULO - PRODESP - GE Seat A,,,Unknown,,,go/psf-request,psf-request,,GovSP_AgentSpace Gov,TRUE,FALSE,Gemini enterprise
MX Large Accounts,Mexico,4.1: Pre Ramp / Mobilize,Build with AI,,,COMPARTAMOS SERVICIOS SA DE CV,Fernando Torres,,Gentera - GE Seat Activation Ramp (Opp:006Kf00000M2Z5CIAV),,,Partner,,,go/psf-request,psf-request,,Gentera - Vertex AI Search - #Agentspace  [F] [B],TRUE,FALSE,Gemini enterprise
Chile,Chile,0-2: Tech Eval/Solution Dev,Build with AI,,,Ripley Corp S.A.,Jesus Buriticá,,Ripley Corp S.A. - GE Seat Activation Ramp (Opp:006Kf00000LiBddIAF),,,Unknown,,,go/psf-request,psf-request,,Ripley Corp - Agentspace #5100 seats,TRUE,FALSE,Gemini enterprise
Argentina,Argentina,0-2: Tech Eval/Solution Dev,Build with AI,,,TELECOM ARGENTINA S.A.,Cristian Ferme,,TELECOM ARGENTINA S.A. - GE Seat Activation Ramp (Opp:006Kf00000JBrH7IAL),,,Unknown,,,go/psf-request,psf-request,,Telecom Argentina - #GenAI 1200 seats #Agentspace [NC],TRUE,FALSE,Gemini enterprise
Large Accounts,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,,,Bradesco,Fernando Matere,,Bradesco - GE Seat Activation Ramp (Opp:006Kf00000L3BrIIAV),,,Unknown,,,go/psf-request,psf-request,,[Bradesco] - Agentspace 3.3k,TRUE,FALSE,Gemini enterprise
EDU PS,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,,,Grupo Marista,Sandra Sagara,,Grupo Marista - GE Seat Activation Ramp (Opp:006Kf00000KYcK1IAL),,,Unknown,,,go/psf-request,psf-request,,[G Marista] AgentSpace Enterprise- Corporativo - 1500 seats,TRUE,TRUE,Gemini enterprise
BR CORP,Brazil,4.1: Pre Ramp / Mobilize,Build with AI,,,Mutant,Felipe Pilon,,Mutant - GE Seat Activation Ramp (Opp:006Kf00000Lzu4PIAR),,,Unknown,,,go/psf-request,psf-request,,Mutant #AgentSpace,TRUE,FALSE,Gemini enterprise
Energy & Nat Res,Brazil,4.2: Ramping / Deliver,Build with AI,,,Vibra Energia S.A,André Macedo,,Vibra Energia S.A - GE Seat Activation Ramp (Opp:006Kf00000KYVbZIAX),Tassya Ventura Frigiéri,"USD 24,000",Partner,ACCENTURE DO BRASIL LTDA,,go/psf-request,psf-request,,VIBRA #OUT #GCP #Agentspace #BR,TRUE,FALSE,Gemini enterprise
Retail & CPG,Brazil,4.2: Ramping / Deliver,Build with AI,,,"(Pernambucanas) ARTHUR LUNDGREN INVESTIMENTOS, INCORPORAÇÃO E ADMINISTRAÇÃO LTDA.",Welington Comin,,"(Pernambucanas) ARTHUR LUNDGREN INVESTIMENTOS, INCORPORAÇÃO E ADMINISTRAÇÃO LTDA",Bruno Patrocinio,USD 1,Customer,,,go/psf-request,psf-request,,Pernambucanas -  Agente Loja e Backoffice  #agentspace,FALSE,FALSE,
Argentina,Argentina,0-2: Tech Eval/Solution Dev,Build with AI,,,ARCOR S.A.I.C.,Alejandro Jaca Otaño,,ARCOR S.A.I.C. - GE Seat Activation Ramp (Opp:006Kf00000Kh8MWIAZ),,,Unknown,,,go/psf-request,psf-request,,Arcor - Agentspace,TRUE,FALSE,Gemini enterprise
Large Accounts,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,,,Bradesco,Fernando Matere,,Bradesco - GE Seat Activation Ramp (Opp:006Kf00000JaMWVIA3),,,Unknown,,,go/psf-request,psf-request,,Bradesco - #AgentSpace (C: 500),TRUE,FALSE,Gemini enterprise
Health,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,,,MV SISTEMAS LTDA,Leandro Okabayashi (Koba),,MV Saude Digital - GE Seat Activation Ramp (Opp:006Kf00000KYXvqIAH),,"USD 184,875",Unknown,,,go/psf-request,psf-request,,MV Saúde (Flow TI) - GCP - Gemini Enterprise #OUT #Gemini Enterprise,TRUE,TRUE,Gemini enterprise
Retail & CPG,Brazil,4.2: Ramping / Deliver,Build with AI,,,Grupo SBF S/A.,Marcos Massini,,Grupo SBF S/A. - GE Seat Activation Ramp (Opp:006Kf00000KYQKJIA5),,USD 1,Customer,,9/30/2028,go/psf-request,psf-request,,SBF #GCP #AGENTSPACE #INB,TRUE,FALSE,Gemini enterprise
MX Multi-industry & Monterrey,Mexico,0-2: Tech Eval/Solution Dev,Build with AI,,,Femsa Comercio S.A. de C.V.,Miguel Caballero,,Femsa Comercio S.A. de C.V. - GE Seat Activation Ramp (Opp:006Kf00000ND9PoIAL),,,Unknown,,,go/psf-request,psf-request,,Oxxo - Vertex AI Search - #Gemini Enterprise [F] [R],TRUE,TRUE,Gemini enterprise
MX DN,Mexico,0-2: Tech Eval/Solution Dev,Build with AI,,,"Financiera Independencia S.A.B. de C.V. SOFOM, E.N.R.",Edgar Torres,,"Financiera Independencia S.A.B. de C.V. SOFOM, E.N.R. - GE Seat Activation Ramp",,,Unknown,,,go/psf-request,psf-request,,Financiera Independencia - Vertex AI Search -  #Agentspace | 1M Trial [B],TRUE,FALSE,Gemini enterprise
Chile,Chile,0-2: Tech Eval/Solution Dev,Build with AI,,,S.A.C.I. Falabella,Sebastian Sosa,,S.A.C.I. Falabella - GE Seat Activation Ramp (Opp:006Kf00000Li1fPIAR),,,Unknown,,,go/psf-request,psf-request,,SACI Falabella - Mallplaza Agentspace #10 seats,TRUE,FALSE,Gemini enterprise
Chile,Chile,0-2: Tech Eval/Solution Dev,Build with AI,,,Asociacion Chilena de Seguridad,Roberto Bagnolo,,Asociacion Chilena de Seguridad - GE Seat Activation Ramp (Opp:006Kf00000NFYzMIA,,,Unknown,,,go/psf-request,psf-request,,[TOC] - BIF - ACHS - Gemini Enterprise Accelerator,TRUE,TRUE,Gemini enterprise
Retail & CPG,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,,,Ri Happy Brinquedos S/A,Welington Comin,,Ri Happy - Gemini Enterprise,,"USD 200,000",Partner,GENTROP CLOUD BRASIL LTDA EPP,,go/psf-request,psf-request,,Ri Happy - Gemini Enterprise,TRUE,TRUE,Gemini enterprise
Brazil DN,Brazil,0-2: Tech Eval/Solution Dev,,,,GOSHME SOLUCOES PARA A INTERNET LTDA,Thiago Dearo,,[Jusbrasil] - Premium Support,,"USD 360,000",Customer,,,go/psf-request,psf-request,,[Jusbrasil] - Premium support,FALSE,FALSE,
MCO CORP CCA,Peru,0-2: Tech Eval/Solution Dev,Build with AI,,,Empresa Editora El Comercio S.A.,Arianne Mahuad,,El Comercio | 200 Licencias Gemini Enterprise,,"USD 40,000",Partner,Xertica Labs S.A.C.,,go/psf-request,psf-request,,El Comercio | 200 Licencias Gemini Enterprise,TRUE,TRUE,Gemini enterprise
MEXICO & PECS PS,El Salvador,0-2: Tech Eval/Solution Dev,Build with AI,Cloud AI - Vertex AI Platform; Databases,,Ministerio de Hacienda de El Salvador,Adri Messih,,Cognos to GCP,Pedro Gutiérrez,"USD 250,000",Partner,GBM de El Salvador S.A. de C.V.,,go/psf-request,psf-request,,Cognos to GCP,FALSE,FALSE,
North 1,United States,0-2: Tech Eval/Solution Dev,Build with AI,,,Wyndham,Zachary Bonugli,,Wyndham Livex World Cup Deployment,Paul Thompson,"USD 100,000",Partner,LiveX AI Inc.,,go/psf-request,psf-request,,Wyndham - Gemini Enterprise,FALSE,TRUE,Gemini enterprise
MX DN,Mexico,3:  Proposal / Negotiation,Build with AI,Cloud AI - Vertex AI Platform,,Plata Card,Nahum Novia,,Plata AI,,"USD 500,000",Unknown,,,go/psf-request,psf-request,,Plata Strategic Agreement,FALSE,FALSE,
Brazil PS,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,,,Secretaria de Agricultura e Abastecimento,Carlos Poço,,Secretaria de Agricultura e Abastecimento - GE Seat Activation Ramp (Opp:006Kf00,,,Unknown,,,go/psf-request,psf-request,,SAA-SP - Agentspace 2900 seats,TRUE,FALSE,Gemini enterprise
Media & Telco,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,,,Claro S/A Brazil,Rodrigo Capasso,,Claro TV - Media Search & Recommendation & Assist,,"USD 600,000",Unknown,,,go/psf-request,psf-request,,Claro TV - Media Search & Recommendation & Assistant,FALSE,FALSE,
FSI,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,,,Confederação Nacional das Cooperativas do Sicoob Ltda - Sicoob Confederação,Rafael Farias,,[RF] Sicoob - Alice 3.0 - Gemini Live Improvement,Gabriel Gonzaga Ferreira de Magalhães,"USD 120,000",Customer,,,go/psf-request,psf-request,,[RF] Sicoob - Alice 3.0 - Gemini Live Improvement,FALSE,FALSE,
FSI,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,Infrastructure AI,,Confederação Nacional das Cooperativas do Sicoob Ltda - Sicoob Confederação,Rafael Farias,,[RF] Sicoob - Governança de IA,,"USD 90,000",Unknown,,,go/psf-request,psf-request,,[RF] Sicoob - Governança de IA,FALSE,FALSE,
Argentina,Argentina,0-2: Tech Eval/Solution Dev,,,,Grupo Petersen,Natalia Giordano,,Grupo Petersen - BQ Consuption layer,Julian Ogando,"USD 100,000",Unknown,,,go/psf-request,psf-request,,Grupo Petersen - GCP,FALSE,FALSE,
BR CORP,Brazil,0-2: Tech Eval/Solution Dev,,,,UNIMED REGIONAL DE CAMPO MOURAO - COOPERATIVA DE TRABALHO MEDICO,Renan Valadares,,SUPRIMATICA - UNIMED REGIONAL DE CAMPO MOURAO - GCP Infra,,"USD 50,000",Unknown,,,go/psf-request,psf-request,,SUPRIMATICA - UNIMED REGIONAL DE CAMPO MOURAO - GCP Infra,FALSE,FALSE,
BR CORP,Brazil,0-2: Tech Eval/Solution Dev,,Gemini AI,,Solucoes Ambientais Aguas do Brasil Ltda,Daniela Benevides,,Aguas do Brasil | #Gemini Enterprise,,"USD 44,000",Partner,,,go/psf-request,psf-request,,Aguas do Brasil | #Gemini Enterprise,TRUE,TRUE,Gemini enterprise
EDU PS,Brazil,3:  Proposal / Negotiation,Build with AI,Infrastructure AI; Cloud AI - Vertex AI Platform; Gemini AI; Databases,,CNA - Confederação Nacional da Agricultura e Pecuária,Rosana Felix,,CNA - Projeto Brasil Rural,Alex Vidotto,"USD 3,092,018",Partner,VISIONA TECNOLOGIA ESPACIAL S/A,,go/psf-request,psf-request,,Senar Nacional (Commit) - Portal de Sustentabilidade - USD 9M - 3y,FALSE,FALSE,
Retail & CPG,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,Gemini AI,,O BOTICARIO FRANCHISING LTDA,Cadu Santini,,[GB] GE WL,Kauy Souza,"USD 2,410,176",Customer,,,go/psf-request,psf-request,,[BOTICARIO] - AWT - Gemini Enterprise #FY26_AWT_Renewal,TRUE,TRUE,Gemini enterprise
MEXICO & PECS PS,Mexico,0-2: Tech Eval/Solution Dev,Build with AI,,,"Secretaría de Finanzas, Estado de México",Esaú Acevedo,,Secretaria Finanzas Edomex 60K,Marco Corral,"USD 60,000",Customer,,,go/psf-request,psf-request,,SDFE-139153-Secretaría de Finanzas Estado de México- Agente de Atención al Contribuyente GCP | 60K TCV | 1YR,FALSE,FALSE,
FSI,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,Cloud AI - Vertex AI Search,,Banco do Brasil S/A,Rafael Farias,,BB - Gemini Enterprise Frontline (70.400 Seats),,"USD 1,165,824",Unknown,,,go/psf-request,psf-request,,BB - Gemini Enterprise,TRUE,TRUE,Gemini enterprise
BR CORP,Brazil,0-2: Tech Eval/Solution Dev,,,,Vale Presente,Renan Valadares,,Spinoff - Social Bank,,"USD 35,000",Unknown,,,go/psf-request,psf-request,,Spinoff - Social Bank (vale presente),FALSE,FALSE,
Bay Area & Semi,United States,0-2: Tech Eval/Solution Dev,Build with AI,Cloud AI - Vertex AI Conversation,,HP Inc.,Heather Votel,,HP - Agentic Commerce and Shopping for Agent HP.com,Noura Daadaa,"USD 500,000",Unknown,,7/1/2027,go/psf-request,psf-request,,HP - GE CX - Agentic Commerce for HP.com,FALSE,TRUE,Gemini enterprise
Colombia,Colombia,4.2: Ramping / Deliver,Build with AI,Cloud AI - Vertex AI Model Garden,,WOLKVOX S A S,Dora Buitrago Daza,,Vertex AI - Wolkvox,Fabian Marquez,"USD 120,000",Customer,,,go/psf-request,psf-request,,Vertex AI - Wolkvox,FALSE,FALSE,
Colombia,Colombia,0-2: Tech Eval/Solution Dev,Build with AI,Cloud AI - Vertex AI Model Garden,,WOLKVOX S A S,Dora Buitrago Daza,,Multi Agentes - Wolkvox,Fabian Marquez,"USD 100,000",Customer,,,go/psf-request,psf-request,,Multi Agentes Wolkvox,FALSE,FALSE,
Colombia,Colombia,0-2: Tech Eval/Solution Dev,Build with AI,Cloud AI - Vertex AI Model Garden,,GAS NATURAL S A E S P,Dora Buitrago Daza,,Grandes Clientes Vanti AI Agents,Fabian Marquez,"USD 60,000",Customer,,,go/psf-request,psf-request,,Grandes Clientes AI Use Case Vanti,FALSE,FALSE,
Colombia,Colombia,0-2: Tech Eval/Solution Dev,Build with AI,Cloud AI - Vertex AI Search; Gemini AI,,GAS NATURAL S A E S P,Dora Buitrago Daza,,Gemini Enterprise Vanti,Fabian Marquez,"USD 144,000",Customer,,,go/psf-request,psf-request,,Gemini Enterprise Vanti,TRUE,TRUE,Gemini enterprise
"MX FSI, Services & WR",Mexico,0-2: Tech Eval/Solution Dev,Build with AI,Infrastructure AI,,"Aerovías de México, S.A. de C.V.",Marisol Escribá,,Aeromexico - Adaptative Agents,,"USD 200,000",Unknown,,8/2/2027,go/psf-request,psf-request,,Aeromexico- Khartik meeting,FALSE,FALSE,
"MX FSI, Services & WR",Mexico,0-2: Tech Eval/Solution Dev,Build with AI,Gemini AI,,"Aerovías de México, S.A. de C.V.",Marisol Escribá,,Aeromexico - AI Blocktime reliability,,"USD 200,000",Unknown,,9/30/2027,go/psf-request,psf-request,,Aeromexico- Khartik meeting,FALSE,FALSE,
"MX FSI, Services & WR",Mexico,0-2: Tech Eval/Solution Dev,Build with AI,,,Alsea S.A.B. de C.V.,Marisol Escribá,,Alsea- Optimización de Rutas,,"USD 400,000",Unknown,,7/19/2027,go/psf-request,psf-request,,Alsea - partnership 2026,FALSE,FALSE,
Iberia RTMH,Brazil,0-2: Tech Eval/Solution Dev,,,,ATENTO BRASIL SA,Mapi Garcia Almajano,,GE Atento,,"USD 1,080,000",Partner,,,go/psf-request,psf-request,,ATENTO - Commit  #GE - 7000 users,TRUE,TRUE,Gemini enterprise
Chile,Chile,0-2: Tech Eval/Solution Dev,,,,Empresas CMPC S.A.,Mariana Portela,,Infraestructure Modernization,Gabriel Gomez,"USD 4,200,000",Partner,"Accenture Chile, Asesorias y Servicios Limitada",,go/psf-request,psf-request,,Big Deal CMPC,FALSE,FALSE,
Chile,Chile,0-2: Tech Eval/Solution Dev,,,,Watt's S.A.,Andrés Teillery Rodríguez,,SAP MIgracion GCP,Gabriel Gomez,"USD 150,000",Partner,,,go/psf-request,psf-request,,Watts - New Commit 900k 3Yrs #SAP CAP,FALSE,FALSE,
Retail & CPG,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,Gemini AI,,Piracanjuba Pro-Campo Ltda,Carol Hudson,,Piracanjuba - Gemini,Yane Sarmento Sarmento,"USD 20,000",Partner,SAUTER TECNOLOGIA E SERVICOS LTDA,2/17/2027,go/psf-request,psf-request,,Piracanjuba - Gemini,FALSE,FALSE,
Retail & CPG,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,Gemini AI,,Jbs S/A,Carol Hudson,,JBS-minutodeouro_Gemini,,"USD 20,000",Partner,GENTROP CLOUD BRASIL LTDA EPP,3/17/2027,go/psf-request,psf-request,,JBS - Gemini Enterprise,FALSE,TRUE,Gemini enterprise
Media & Telco,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,,,Globo Comunicacao e Participacoes SA,Felipe Paranhos,,AI Content Production - Super Resolution + Outpaiting,Rodrigo Pereira da Silva,"USD 3,500,000",Customer,,,go/psf-request,psf-request,,Globo - Outpainting+SR Project,FALSE,FALSE,
Retail & CPG,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,Cloud AI - Vertex AI Search,,Kabum Comércio Eletrônico S/A,Cadu Santini,,[Kabum] Retail Search WL,Kauy Souza,"USD 60,000",Customer,,,go/psf-request,psf-request,,[Kabum] Retail Search,FALSE,FALSE,
Retail & CPG,Brazil,4.1: Pre Ramp / Mobilize,Build with AI,Cloud AI - Vertex AI Model Garden,,Magazine Luiza S/A,Cadu Santini,,[Magalu] Gemini Flash Priority PayGo WL,Kauy Souza,"USD 72,000",Customer,,,go/psf-request,psf-request,,[Magalu] Gemini Flash Priority PayGo,FALSE,FALSE,
Health,Brazil,4.2: Ramping / Deliver,Build with AI,Gemini AI,,Rede D'or São Luiz S/A,Daniela Kwaks,,Rede D'Or São Luiz - Dr Marvin Piloto,Renato Gregio,"USD 6,675",Customer,,6/30/2026,go/psf-request,psf-request,,Rede D'Or São Luiz - Dr Marvin,FALSE,FALSE,
Health,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,Gemini AI,,Rede D'or São Luiz S/A,Daniela Kwaks,,Rede D'Or São Luiz - Dr Marvin Roll out,Renato Gregio,"USD 73,420",Customer,,,go/psf-request,psf-request,,Rede D'Or São Luiz - Dr Marvin,FALSE,FALSE,
BR CORP,Brazil,0-2: Tech Eval/Solution Dev,,,,JHSF Incorporacoes Ltda,Sarah Tobias,,JHSF - Looker,,"USD 60,000",Unknown,,,go/psf-request,psf-request,,JHSF - Looker,FALSE,FALSE,
MCO CORP CCA,Venezuela,0-2: Tech Eval/Solution Dev,,Cloud AI - Vertex AI Platform,,Organizacion El Tunal,Daniel Cornejo,,Organización del tunal,,"USD 30,000",Partner,Abside Inc,,go/psf-request,psf-request,,Organización del tunal,FALSE,FALSE,
